id,URL de la Portada,Géneros,Nombre,Rating,Número de Ratings,Sinopsis
119133,//images.igdb.com/igdb/image/upload/t_thumb/co4jni.jpg,"[12, 31]",Elden Ring,95.8355466750079,615,"Elden Ring is a fantasy, action and open world game with RPG elements such as stats, weapons and spells. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between."
26472,//images.igdb.com/igdb/image/upload/t_thumb/co1sfj.jpg,"[12, 31]",Disco Elysium,95.79815424215552,510,"A CRPG in which, waking up in a hotel room a total amnesiac with highly opinionated voices in his head, a middle-aged detective on a murder case inadvertently ends up playing a part in the political dispute between a local labour union and a larger international body, all while struggling to piece together his past, diagnose the nature of the reality around him and come to terms with said reality."
1942,//images.igdb.com/igdb/image/upload/t_thumb/co1wyy.jpg,"[12, 31]",The Witcher 3: Wild Hunt,94.39790099138506,3606,"RPG and sequel to The Witcher 2 (2011), The Witcher 3 follows witcher Geralt of Rivia as he seeks out his former lover and his young subject while intermingling with the political workings of the wartorn Northern Kingdoms. Geralt has to fight monsters and deal with people of all sorts in order to solve complex problems and settle contentious disputes, each ranging from the personal to the world-changing."
6036,//images.igdb.com/igdb/image/upload/t_thumb/co5zks.jpg,"[5, 31]",The Last of Us Remastered,93.85691691441343,1232,"The Last of Us Remastered is an updated release of the PS3 game The Last of Us. It is identical to the PS3 version but runs at a 1080p resolution and incorporates character models with a higher resolution. There are also improved shadows and lighting, upgraded textures, 60 frames per second and other types of improvements. In addition to the base game, two map packs and the expansion The Last of Us: Left Behind are included."
19560,//images.igdb.com/igdb/image/upload/t_thumb/co1tmu.jpg,"[12, 25, 31]",God of War,93.69298830840992,2083,"God of War is the sequel to God of War III as well as a continuation of the canon God of War chronology. Unlike previous installments, this game focuses on Norse mythology and follows an older and more seasoned Kratos and his son Atreus in the years since the third game. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same."
1009,//images.igdb.com/igdb/image/upload/t_thumb/co1r7f.jpg,"[5, 31]",The Last of Us,93.37361230392843,2469,"A third person shooter/stealth/survival hybrid, in which twenty years after the outbreak of a parasitic fungus which takes over the neural functions of humans, Joel, a Texan with a tragic familial past, finds himself responsible with smuggling a fourteen year old girl named Ellie to a militia group called the Fireflies, while avoiding strict and deadly authorities, infected fungal hosts and other violent survivors."
1802,//images.igdb.com/igdb/image/upload/t_thumb/co3plw.jpg,"[12, 31]",Chrono Trigger,93.36763074461092,998,"In this turn-based Japanese RPG, young Crono must travel through time through a misfunctioning teleporter to rescue his misfortunate companion and take part in an intricate web of past and present perils. The adventure that ensues soon unveils an evil force set to destroy the world, triggering Crono's race against time to change the course of history and bring about a brighter future."
1103,//images.igdb.com/igdb/image/upload/t_thumb/co5osy.jpg,"[5, 8, 31]",Super Metroid,93.08506734924043,766,"The Space Pirates, merciless agents of the evil Mother Brain, have stolen the last Metroid from a research station, and once again Mother Brain threatens the safety of the galaxy! Samus Aran must don her awesome array of high-tech weaponry to retrieve the deadly Metroid hidden deep within the cave-riddled planet Zebes. Super Metroid features excellent graphics, with a huge variety of enemies and worlds to explore. The side-view action will be familiar to many players, only now there are new weapons and items, including the Grappling Beam, which allows Samus to swing across large chasms, and the X-Ray Scope, which reveals secret passages."
9927,//images.igdb.com/igdb/image/upload/t_thumb/co1r76.jpg,"[12, 16, 31]",Persona 5,92.95086202505433,761,"Persona 5, a turn-based JRPG with visual novel elements, follows a high school student with a criminal record for a crime he didn't commit. Soon he meets several characters who share similar fates to him, and discovers a metaphysical realm which allows him and his friends to channel their pent-up frustrations into becoming a group of vigilantes reveling in aesthetics and rebellion while fighting corruption."
1105,//images.igdb.com/igdb/image/upload/t_thumb/co3w4w.jpg,"[5, 8, 9, 31]",Metroid Prime,92.85615380621833,660,"A 3D exploration-focused metroidvania with first-person shooting mechanics and the first 3D entry in the Metroid series, Metroid Prime follows Samus Aran after the events of Metroid (1986) as she boards a Space Pirate frigate, then chases her escaping archrival Ridley into the intricately structured Tallon IV, a planet full of deadly wildlife and former home to the advanced and ancient Chozo race."
